order_id,order_date,customer_id,product_id,quantity,invoiced_unit_price,discount_pct,cogs_unit_price
ORD-0001,2026-01-01,C-01,P-100,5,1020.0,0.15,410
ORD-0002,2026-01-02,C-02,P-200,3,720.0,0.1,270
ORD-0003,2026-01-03,C-01,P-100,7,1020.0,0.15,410
ORD-0004,2026-01-04,C-01,P-100,2,1020.0,0.15,410
ORD-0005,2026-01-05,C-02,P-200,1,720.0,0.1,270
ORD-0006,2026-01-06,C-04,P-200,4,720.0,0.1,270
ORD-0007,2026-01-07,C-03,P-400,1,222.5,0.11,155
ORD-0008,2026-01-08,C-04,P-200,6,720.0,0.1,270
ORD-0009,2026-01-09,C-02,P-300,4,414.0,0.08,255
ORD-0010,2026-01-10,C-01,P-300,2,414.0,0.08,255
ORD-0011,2026-01-11,C-01,P-400,6,237.5,0.05,155
ORD-0012,2026-01-12,C-03,P-300,1,414.0,0.08,255
ORD-0013,2026-01-13,C-01,P-400,7,207.5,0.17,155
ORD-0014,2026-01-14,C-03,P-100,6,948.0,0.21,410
ORD-0015,2026-01-15,C-01,P-200,1,720.0,0.1,270
ORD-0016,2026-01-16,C-03,P-200,2,720.0,0.1,270
ORD-0017,2026-01-17,C-01,P-200,7,676.8,0.1,270
ORD-0018,2026-01-18,C-04,P-300,6,414.0,0.08,255
ORD-0019,2026-01-19,C-03,P-200,6,720.0,0.1,270
ORD-0020,2026-01-20,C-03,P-200,2,720.0,0.1,270
ORD-0021,2026-01-21,C-02,P-200,3,672.0,0.16,270
ORD-0022,2026-01-22,C-04,P-400,5,237.5,0.05,155
ORD-0023,2026-01-23,C-03,P-200,1,720.0,0.1,270
ORD-0024,2026-01-24,C-01,P-200,6,720.0,0.1,270
ORD-0025,2026-01-25,C-03,P-400,2,237.5,0.05,155
ORD-0026,2026-01-26,C-03,P-200,4,624.0,0.22,270
ORD-0027,2026-01-27,C-04,P-400,8,237.5,0.05,155
ORD-0028,2026-01-28,C-03,P-200,3,672.0,0.16,270
ORD-0029,2026-01-01,C-03,P-200,7,720.0,0.1,270
ORD-0030,2026-01-02,C-03,P-400,4,237.5,0.05,155
ORD-0031,2026-02-03,C-04,P-200,2,720.0,0.1,270
ORD-0032,2026-02-04,C-01,P-100,3,1020.0,0.15,410
ORD-0033,2026-02-05,C-04,P-200,2,720.0,0.1,270
ORD-0034,2026-02-06,C-04,P-400,8,223.25,0.05,155
ORD-0035,2026-02-07,C-01,P-300,2,387.0,0.14,255
ORD-0036,2026-02-08,C-03,P-300,2,414.0,0.08,255
ORD-0037,2026-02-09,C-04,P-300,3,414.0,0.08,255
ORD-0038,2026-02-10,C-01,P-400,5,237.5,0.05,155
ORD-0039,2026-02-11,C-01,P-200,5,624.0,0.22,270
ORD-0040,2026-02-12,C-02,P-200,6,720.0,0.1,270
ORD-0041,2026-02-13,C-01,P-200,6,720.0,0.1,270
ORD-0042,2026-02-14,C-01,P-400,2,222.5,0.11,155
ORD-0043,2026-02-15,C-03,P-300,4,414.0,0.08,255
ORD-0044,2026-02-16,C-02,P-100,2,1020.0,0.15,410
ORD-0045,2026-02-17,C-04,P-100,2,1020.0,0.15,410
ORD-0046,2026-02-18,C-02,P-200,8,720.0,0.1,270
ORD-0047,2026-02-19,C-03,P-200,7,720.0,0.1,270
ORD-0048,2026-02-20,C-02,P-200,5,720.0,0.1,270
ORD-0049,2026-02-21,C-03,P-400,8,222.5,0.11,155
ORD-0050,2026-02-22,C-01,P-400,4,237.5,0.05,155
ORD-0051,2026-02-23,C-01,P-200,6,676.8,0.1,270
ORD-0052,2026-02-24,C-02,P-100,4,876.0,0.27,410
ORD-0053,2026-02-25,C-01,P-100,1,1020.0,0.15,410
ORD-0054,2026-02-26,C-01,P-200,1,720.0,0.1,270
ORD-0055,2026-02-27,C-01,P-300,4,414.0,0.08,255
ORD-0056,2026-02-28,C-04,P-300,4,387.0,0.14,255
ORD-0057,2026-02-01,C-04,P-200,4,720.0,0.1,270
ORD-0058,2026-02-02,C-04,P-400,4,237.5,0.05,155
ORD-0059,2026-02-03,C-01,P-100,7,1020.0,0.15,410
ORD-0060,2026-02-04,C-04,P-300,7,414.0,0.08,255
ORD-0061,2026-03-05,C-01,P-400,2,237.5,0.05,155
ORD-0062,2026-03-06,C-04,P-100,6,1020.0,0.15,410
ORD-0063,2026-03-07,C-02,P-100,4,948.0,0.21,410
ORD-0064,2026-03-08,C-04,P-200,3,720.0,0.1,270
ORD-0065,2026-03-09,C-02,P-400,5,207.5,0.17,155
ORD-0066,2026-03-10,C-02,P-400,2,237.5,0.05,155
ORD-0067,2026-03-11,C-01,P-400,1,237.5,0.05,155
ORD-0068,2026-03-12,C-01,P-100,4,958.8,0.15,410
ORD-0069,2026-03-13,C-04,P-200,8,720.0,0.1,270
ORD-0070,2026-03-14,C-02,P-400,7,222.5,0.11,155
ORD-0071,2026-03-15,C-02,P-100,7,1020.0,0.15,410
ORD-0072,2026-03-16,C-04,P-100,5,1020.0,0.15,410
ORD-0073,2026-03-17,C-03,P-400,7,237.5,0.05,155
ORD-0074,2026-03-18,C-02,P-400,4,237.5,0.05,155
ORD-0075,2026-03-19,C-02,P-300,1,414.0,0.08,255
ORD-0076,2026-03-20,C-03,P-100,1,1020.0,0.15,410
ORD-0077,2026-03-21,C-04,P-100,3,948.0,0.21,410
ORD-0078,2026-03-22,C-01,P-100,3,876.0,0.27,410
ORD-0079,2026-03-23,C-01,P-100,4,1020.0,0.15,410
ORD-0080,2026-03-24,C-01,P-400,4,237.5,0.05,155
ORD-0081,2026-03-25,C-01,P-100,7,1020.0,0.15,410
ORD-0082,2026-03-26,C-03,P-300,4,414.0,0.08,255
ORD-0083,2026-03-27,C-02,P-300,5,414.0,0.08,255
ORD-0084,2026-03-28,C-02,P-400,5,222.5,0.11,155
ORD-0085,2026-03-01,C-03,P-400,2,223.25,0.05,155
ORD-0086,2026-03-02,C-04,P-100,2,1020.0,0.15,410
ORD-0087,2026-03-03,C-02,P-100,5,1020.0,0.15,410
ORD-0088,2026-03-04,C-03,P-200,2,720.0,0.1,270
ORD-0089,2026-03-05,C-03,P-200,5,720.0,0.1,270
ORD-0090,2026-03-06,C-04,P-200,5,720.0,0.1,270
ORD-0091,2026-04-07,C-03,P-100,2,876.0,0.27,410
ORD-0092,2026-04-08,C-03,P-200,2,720.0,0.1,270
ORD-0093,2026-04-09,C-02,P-100,5,1020.0,0.15,410
ORD-0094,2026-04-10,C-02,P-300,6,414.0,0.08,255
ORD-0095,2026-04-11,C-03,P-200,8,720.0,0.1,270
ORD-0096,2026-04-12,C-01,P-300,2,414.0,0.08,255
ORD-0097,2026-04-13,C-03,P-400,1,237.5,0.05,155
ORD-0098,2026-04-14,C-03,P-100,3,948.0,0.21,410
ORD-0099,2026-04-15,C-02,P-300,8,414.0,0.08,255
ORD-0100,2026-04-16,C-01,P-400,2,237.5,0.05,155
ORD-0101,2026-04-17,C-02,P-100,1,1020.0,0.15,410
ORD-0102,2026-04-18,C-02,P-300,7,389.16,0.08,255
ORD-0103,2026-04-19,C-01,P-200,5,720.0,0.1,270
ORD-0104,2026-04-20,C-01,P-300,6,360.0,0.2,255
ORD-0105,2026-04-21,C-02,P-200,2,672.0,0.16,270
ORD-0106,2026-04-22,C-04,P-300,3,414.0,0.08,255
ORD-0107,2026-04-23,C-02,P-200,3,720.0,0.1,270
ORD-0108,2026-04-24,C-01,P-400,3,237.5,0.05,155
ORD-0109,2026-04-25,C-04,P-300,4,414.0,0.08,255
ORD-0110,2026-04-26,C-02,P-300,2,414.0,0.08,255
ORD-0111,2026-04-27,C-01,P-400,8,237.5,0.05,155
ORD-0112,2026-04-28,C-02,P-200,8,672.0,0.16,270
ORD-0113,2026-04-01,C-03,P-300,4,414.0,0.08,255
ORD-0114,2026-04-02,C-01,P-200,4,720.0,0.1,270
ORD-0115,2026-04-03,C-03,P-400,5,237.5,0.05,155
ORD-0116,2026-04-04,C-03,P-100,6,1020.0,0.15,410
ORD-0117,2026-04-05,C-03,P-400,1,207.5,0.17,155
ORD-0118,2026-04-06,C-03,P-100,3,1020.0,0.15,410
ORD-0119,2026-04-07,C-01,P-300,2,363.78,0.14,255
ORD-0120,2026-04-08,C-03,P-400,6,237.5,0.05,155
